Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Allen & Co.,rec30mNzF0ceoy5A2,"Extreme Analysis (CAE, CFD, FEA, QC)",PhysicsX,1,Institutional Investors,,,,
AI Grant,rec5nixfNkgLmUi8W,Design Intelligence (CAD),Common Sense Machines,1,Institutional Investors,,,,
Saltagen,rec3iBvkrqRfdbTGK,"Cognitive Thread (PLM, MBSE, DT)",Canvas Envision,1,Institutional Investors,,,,
Passion Capital,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Institutional Investors,,,,
Risto Siilasmaa,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Individual,,,,
ACD Systems,rec3iBvkrqRfdbTGK,"Cognitive Thread (PLM, MBSE, DT)",Canvas Envision,1,Institutional Investors,,,,
Knife Capital,rec0buXI6JZToRFwT,"Factory Futures (MES, IIOT)",DataProphet,1,Institutional Investors,,,,
Ohio Department of Development,rec3uw9EqGsyRobh6,"Adaptive Manufacturing (AM, CAM, CNC)",ABĒMIS llc,1,Institutional Investors,,,,
AI Venture Labs,rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,VC Fund,,,,
Carlos Furlotti,rec4OaeUERIJ0kgak,"Factory Futures (MES, IIOT)",OpsMate,1,Individual,,,,
Ride Home Fund,rec5ISfQqNHsx05RF,"SW+HW=Innovation (Robotics, Drones)",Toolhouse.Build,1,Institutional Investors,,,,
NGP,rec30mNzF0ceoy5A2,"Extreme Analysis (CAE, CFD, FEA, QC)",PhysicsX,1,Institutional Investors,,,,
Innovation Fund America,rec3uw9EqGsyRobh6,"Adaptive Manufacturing (AM, CAM, CNC)",ABĒMIS llc,1,Institutional Investors,,,,
imec.istart future fund,rec4tbXVepmeZP90k,"Extreme Analysis (CAE, CFD, FEA, QC)",Airshaper,1,Institutional Investors,,,,
Good Capital (India),rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,Institutional Investors,,,,
Karen Kerr,rec4OaeUERIJ0kgak,"Factory Futures (MES, IIOT)",OpsMate,1,Individual,,,,
Malin Posern,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Individual,,,,
Technia,rec2NKIsqM6jSFnHp,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",InUse,1,Institutional Investors,,,,
Speen Holding,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Individual,,,,
Segenia Capital,rec32WwqMZqtdpWzd,"Extreme Analysis (CAE, CFD, FEA, QC)",Dive CAE,1,Institutional Investors,,,,
European Angels,rec2tmIdzfMFwoHbK,Bleeding Edge BIM (AEC/BIM),Qonic,1,Angel,,,,
Silver Scale,rec3ldQvQ6ldnxAkO,"Factory Futures (MES, IIOT)",Assemblio,1,Individual,,,,
Spring Ventures,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,VC Fund,,,,
Wisdom Warrior Fund,rec3iBvkrqRfdbTGK,"Cognitive Thread (PLM, MBSE, DT)",Canvas Envision,1,Institutional Investors,,,,
Senovo Capital,rec32WwqMZqtdpWzd,"Extreme Analysis (CAE, CFD, FEA, QC)",Dive CAE,1,Institutional Investors,,,,
Aviv Refuah,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Individual,,,,
Jeremy Coller (angel),rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Angel,,,,
Startup Autobahn,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Individual,,,,
Ilkka Kivimaki,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Individual,,,,
KGAP+,rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,Institutional Investors,,,,
Michael Schrezenmaier,rec6N4HoEmigpoSvS,"Factory Futures (MES, IIOT)",Quix,1,Individual,,,,
Teamworthy,rec154SwmlecINzLT,"Cognitive Thread (PLM, MBSE, DT)",Uncountable,1,Institutional Investors,,,,
Los Angeles Cleantech Incubator,rec528toX065bQFMp,"SW+HW=Innovation (Robotics, Drones)",Variant3D,1,Angel,,,,
Plant 4.0 Startup Incubator,rec2NKIsqM6jSFnHp,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",InUse,1,Institutional Investors,,,,
ZS (ZS Associates),rec006zDUA2UnqhQP,"Factory Futures (MES, IIOT)",Quartic.ai,1,Institutional Investors,,,,
Maetch VC,rec3ldQvQ6ldnxAkO,"Factory Futures (MES, IIOT)",Assemblio,1,Individual,,,,
Perceptive Ventures,rec2ncOTpg6A0sHKF,"Extreme Analysis (CAE, CFD, FEA, QC)",KronosAI,1,VC Fund,,,,
ISV Startup Springboard,rec5nixfNkgLmUi8W,Design Intelligence (CAD),Common Sense Machines,1,Individual,,,,
Argo Graphics,rec2NKIsqM6jSFnHp,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",InUse,1,Institutional Investors,,,,
Andrew Larsen,rec5uzaox6Nhg9WAb,Bleeding Edge BIM (AEC/BIM),Nyfty.ai,1,Individual,,,,
Xerox (Xerox Ventures),rec46xGNtqh5GIbQa,"Factory Futures (MES, IIOT)",Castor (filed for bankruptcy in 2025),1,VC Fund,,,,
Crowberry Capital,rec28SOjjteSQr185,"Extreme Analysis (CAE, CFD, FEA, QC)",Quanscient,1,Institutional Investors,,,,
TJ Rylander,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,Individual,,,,
Launchub Ventures,rec8MkEa7UfvpkhtN,Bleeding Edge BIM (AEC/BIM),Giraffe,1,VC Fund,,,,
Cyient,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Institutional Investors,,,,
Devang Sachdev,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Individual,,,,
New Mexico Angels,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Angel,,,,
Slovak American Enterprise Fund,rec7bTyM85WDyKb0m,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Twinzo,1,Institutional Investors,,,,
Charlottesville Angel Network,rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Angel,,,,
NVAngels,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Angel,,,,
Finnish Business Angels Network,rec93Q9yUdSYQzfOG,Bleeding Edge BIM (AEC/BIM),Make a BIM,1,Angel,,,,
Soulmates Ventures,rec7bTyM85WDyKb0m,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Twinzo,1,VC Fund,,,,
Esa Kinnunen,rec93Q9yUdSYQzfOG,Bleeding Edge BIM (AEC/BIM),Make a BIM,1,Individual,,,,
Hexagon Corporation,rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Institutional Investors,,,,
Annelies Gamble,rec9GKWVbp7wSHbtC,"Extreme Analysis (CAE, CFD, FEA, QC)",Vinci 4D,1,Individual,,,,
Intrepid Growth Partners,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,Institutional Investors,,,,
Silent Ventures,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,VC Fund,,,,
HCVC,rec8MkEa7UfvpkhtN,Bleeding Edge BIM (AEC/BIM),Giraffe,1,VC Fund,,,,
Chad Peets,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,Individual,,,,
New Mexico Bioscience Authority,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Individual,,,,
Sutter Hill Ventures,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,VC Fund,recWEoqf4ylS89jCU,Pete Schlampp,,
Moneta Ventures,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,VC Fund,,,,
New Mexico Economic Development Department,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Ashu Bhalla,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Individual,,,,
Statkraft Ventures Promus Ventures,rec8zHiglklRtL16O,Streamlined Supply Chain (SCM),Wakeo,1,VC Fund,,,,
Criteria Venture Tech,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,VC Fund,,,,
Venture to Future Fund,rec7bTyM85WDyKb0m,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Twinzo,1,VC Fund,,,,
Killick Capital,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,Institutional Investors,,,,
Arka Venture Labs,rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,VC Fund,,,,
Arnaud Kooij,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,Individual,,,,
Teradyne,rec8OeNTLsNrJnr1Y,"Factory Futures (MES, IIOT)",MachineMetrics,1,Institutional Investors,,,,
Wisconsin Economic Development Corporation,rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Institutional Investors,,,,
Asymmetric Capital Partners,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,Institutional Investors,,,,
Los Alamos National Laboratory,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Individual,,,,
Perseo,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Institutional Investors,,,,
Rainforest Innovations,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Individual,,,,
Roma Jelinskaite,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Individual,,,,
New Enterprise Associates (NEA) and Temasek.,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Growth Factory,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Individual,,,,
Griffiss Institute (as part of the Mojave Aerospace Accelerator Fund),rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,Institutional Investors,,,,
Thomas Laffont,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,Individual,,,,
Outlander VC,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,Individual,,,,
Ramya Mohan,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Individual,,,,
Cedar Fund,rec7UexZYizzU6iys,Bleeding Edge BIM (AEC/BIM),Kenesto,1,Institutional Investors,,,,
Krishna Bodanapu,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Individual,,,,
Verissimo Ventures,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,VC Fund,,,,
Madworks Seed Accelerator,rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Institutional Investors,,,,
Pranatech Venture Capital,rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,VC Fund,,,,
ManTech,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
N47,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,Institutional Investors,,,,
Crosscut Ventures,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,VC Fund,,,,
Critical Ventures,rec7bTyM85WDyKb0m,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Twinzo,1,VC Fund,,,,
Basque Fondo,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Institutional Investors,,,,
Chetan Mehta,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,Individual,,,,
Sci‑Tech Daresbury,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Individual,,,,
Jackson Moses,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,Individual,,,,
Paradigm Shift Capital,rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,Institutional Investors,,,,
Amit Gupta,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Individual,,,,
Digital Business Incubation Centre (Digital BIC),rec6ZiWbsHoZwg5Ys,"Extreme Analysis (CAE, CFD, FEA, QC)",Voxshell,1,Institutional Investors,,,,
Pelorus Venture Capital,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,VC Fund,,,,
Mike Speiser,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,Individual,,,,
Irregular Expressions,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,Institutional Investors,,,,
Industrial Strategy Challenge Fund,rec6ZiWbsHoZwg5Ys,"Extreme Analysis (CAE, CFD, FEA, QC)",Voxshell,1,Institutional Investors,,,,
Rogue Capital Partners,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,Institutional Investors,,,,
Technology Research Collaborative,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Gary Comer / GCI (Gary Comer Inc.),rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Institutional Investors,,,,
Drysdale Ventures,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,VC Fund,,,,
Seed Capital Bizkaia,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Institutional Investors,,,,
Gert Lanckriet,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Individual,,,,
Wing Venture Capital,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,VC Fund,,,,
Eidetic Ventures,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,VC Fund,,,,
Madison Development Corporation,rec7DQdDZQET16TA3,"Factory Futures (MES, IIOT)",SmartUQ,1,Institutional Investors,,,,
Kim Väisänen,rec93Q9yUdSYQzfOG,Bleeding Edge BIM (AEC/BIM),Make a BIM,1,Individual,,,,
Coatue,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,Institutional Investors,,,,
AUM Ventures,rec70NalFiWJA2Cy1,"SW+HW=Innovation (Robotics, Drones)",Azimuth,1,VC Fund,,,,
Kiilto Ventures,rec93Q9yUdSYQzfOG,Bleeding Edge BIM (AEC/BIM),Make a BIM,1,VC Fund,,,,
Óscar Cantalejo,rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Institutional Investors,,,,
BlueHalo,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Ingenuity Venture Fund,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,VC Fund,,,,
Sensicon Ventures,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,VC Fund,,,,
Earthling VC,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,Individual,,,,
Michael Stoppelman,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Individual,,,,
Michael Payne,rec7UexZYizzU6iys,Bleeding Edge BIM (AEC/BIM),Kenesto,1,Individual,,,,
Brad Flora,rec7iz5x0Pfosvl4l,Design Intelligence (CAD),Adam,1,Individual,,,,
Trae Stephens,rec7d0FvjP1gyjPSG,"Factory Futures (MES, IIOT)",Dirac,1,Individual,,,,
Armory Square Ventures,rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,VC Fund,,,,
Sandia National Laboratories,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Arc Ventures,rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,VC Fund,,,,
Level Up Ventures,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,VC Fund,,,,
Air Force Research Laboratory,rec8Km9DgdcmOLX2p,Design Intelligence (CAD),Morphorm,1,Institutional Investors,,,,
Empire State Development — New York Ventures (New York State Innovation Venture Capital Fund),rec6RNto3co791W0G,"Extreme Analysis (CAE, CFD, FEA, QC)",BQP,1,VC Fund,,,,
Spencer Kimball,rec6xOlHZTizafBcS,"Extreme Analysis (CAE, CFD, FEA, QC)",Tensor9,1,Individual,,,,
STFC Hartree Centre,rec6ZiWbsHoZwg5Ys,"Extreme Analysis (CAE, CFD, FEA, QC)",Voxshell,1,Individual,,,,
Iberdrola (Perseo),rec7BPd1RqXwEK3Nc,"Factory Futures (MES, IIOT)",Barbara,1,Institutional Investors,,,,
Canada's Ocean Supercluster,rec8lfVfM13eGFRYt,"Cognitive Thread (PLM, MBSE, DT)",CoLab,1,Institutional Investors,,,,
Henry Royce Institute,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Individual,,,,
Nicolas Essayan,rec7inutMVTTqVN90,Design Intelligence (CAD),MecAgent,1,Individual,,,,
DEPO Ventures,rec7bTyM85WDyKb0m,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Twinzo,1,VC Fund,,,,
Keith Adams,rec6TkBnVySbyjpDS,"Extreme Analysis (CAE, CFD, FEA, QC)",Luminary Cloud,1,Individual,,,,
MPI,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Institutional Investors,,,,
EnBW New Ventures,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,VC Fund,,,,
Shruti Gupta,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Individual,,,,
2048 Ventures,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,VC Fund,,,,
Two Bear Capital,rec9pR44bem4XQCgE,"Factory Futures (MES, IIOT)",Arch Systems,1,Institutional Investors,,,,
PSP Growth,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Individual,,,,
Sino Group,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Individual,,,,
Dr Hans J. Langer,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Individual,,,,
Sterling VC,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Individual,,,,
Industry Ventures,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,VC Fund,,,,
HOLT Ventures,recAP3AgCUIyDBtQB,"Factory Futures (MES, IIOT)",Augmentir,1,VC Fund,,,,
Landesbank Baden-Württemberg,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
"Building Research Establishment, Ltd",recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
Gardner Lewis Asset Management,recAP3AgCUIyDBtQB,"Factory Futures (MES, IIOT)",Augmentir,1,Institutional Investors,,,,
Ty Findley,recAP3AgCUIyDBtQB,"Factory Futures (MES, IIOT)",Augmentir,1,Individual,,,,
KIN LTD,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
AMBUE LTD,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
United States Air Force (AFWERX/AFRL SBIR),recAP3AgCUIyDBtQB,"Factory Futures (MES, IIOT)",Augmentir,1,Institutional Investors,,,,
Wework,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
EPSRC,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Institutional Investors,,,,
LONDON BOROUGH OF BARKING AND DAGENHAM,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
Linqto,recCAm1lIBoVQBwkH,"SW+HW=Innovation (Robotics, Drones)",Skydio,1,Institutional Investors,,,,
harmonic,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
Third Prime,recDAhrwASH1Kp6ym,"Factory Futures (MES, IIOT)",First Resonance,1,Individual,,,,
ULTRAFRAME (UK) LIMITED,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
RTP Global,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,Individual,,,,
Pitchdrive,recANEKL9CwjaQEEC,Streamlined Supply Chain (SCM),Vendorvue,1,Institutional Investors,,,,
EUDIS Business Accelerator,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
Craig Scott,recD87UeGsdYoWVeF,"Factory Futures (MES, IIOT)",Fuuz,1,Individual,,,,
BBSRC,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Institutional Investors,,,,
Wavemaker Partners,recDAhrwASH1Kp6ym,"Factory Futures (MES, IIOT)",First Resonance,1,Institutional Investors,,,,
GreenPoint,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
Johann Oberhofer,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Individual,,,,
Seedrs,recAcX5Z3Nvute850,"Adaptive Manufacturing (AM, CAM, CNC)",SP3D,1,Institutional Investors,,,,
Credit Agricole,recAcX5Z3Nvute850,"Adaptive Manufacturing (AM, CAM, CNC)",SP3D,1,Individual,,,,
alpaca,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
Generate (Paris),recAcX5Z3Nvute850,"Adaptive Manufacturing (AM, CAM, CNC)",SP3D,1,Institutional Investors,,,,
Defense Innovation Agency (AID),recAcX5Z3Nvute850,"Adaptive Manufacturing (AM, CAM, CNC)",SP3D,1,Institutional Investors,,,,
Dr Ran Xiao,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Individual,,,,
Differential Ventures,recBRpb6SqVduHjlM,"Extreme Analysis (CAE, CFD, FEA, QC)",Metafold 3D,1,VC Fund,,,,
Investitionsbank Berlin,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
AM Ventures,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,VC Fund,,,,
Joint Task “Improvement of the Regional Economic Structure” (GRW),recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
Carsten Thoma,recAGGqJxE2LZGkQ4,"Cognitive Thread (PLM, MBSE, DT)",Aletiq,1,Individual,,,,
zigg,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
Builders VC,recDAhrwASH1Kp6ym,"Factory Futures (MES, IIOT)",First Resonance,1,Individual,,,,
Navitas,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Institutional Investors,,,,
Lansdowne Investment Company Cyprus (LICC),recCL72pQaa5al0Iq,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",ViewAR,1,Institutional Investors,,,,
Haatch,rec9fXaDmGWIhcUkt,"Cognitive Thread (PLM, MBSE, DT)",Matrac,1,Institutional Investors,,,,
Entropy Industrial Capital,recAGGqJxE2LZGkQ4,"Cognitive Thread (PLM, MBSE, DT)",Aletiq,1,Institutional Investors,,,,
Jason Warner,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,Individual,,,,
Claire Hughes Johnson,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,Individual,,,,
Angel Invest Ventures,recAGGqJxE2LZGkQ4,"Cognitive Thread (PLM, MBSE, DT)",Aletiq,1,VC Fund,,,,
Foundry Group,recBy4hjt8AVdnyXo,"Knowledge Engineering (R&D, Learning)",Turing Education,1,Individual,,,,
Dynamo Ventures,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,VC Fund,,,,
Markus Ament,recAGGqJxE2LZGkQ4,"Cognitive Thread (PLM, MBSE, DT)",Aletiq,1,Individual,,,,
Banque Populaire,recAcX5Z3Nvute850,"Adaptive Manufacturing (AM, CAM, CNC)",SP3D,1,Individual,,,,
Alexander Kiltz,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Individual,,,,
Bow Tie Construction Limited,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
Fischer Homes,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Individual,,,,
Whit Gardner,recAP3AgCUIyDBtQB,"Factory Futures (MES, IIOT)",Augmentir,1,Individual,,,,
Royal Academy of Engineering Enterprise Hub,recC3glzLeOAPma5v,Design Intelligence (CAD),NexCAD,1,Institutional Investors,,,,
Johannes von Borries,recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
Matt Turck,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,Individual,,,,
Christian Dahlen,recAGGqJxE2LZGkQ4,"Cognitive Thread (PLM, MBSE, DT)",Aletiq,1,Individual,,,,
BOM Rabobank Dutch development fund,rec9niGV7EMdFUmnY,"Adaptive Manufacturing (AM, CAM, CNC)",QuotationFactory,1,Institutional Investors,,,,
FirstMark Capital,recB3ypVxHUQg6ft7,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",Nextmv,1,Institutional Investors,,,,
THE MANUFACTURING TECHNOLOGY CENTRE LIMITED,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
ENERGIESPRONG UK LIMITED,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
Suffolk Construction,rec9p9EqFFPkfr4he,Bleeding Edge BIM (AEC/BIM),OpenSpace,1,Individual,,,,
European Regional Development Fund (ERDF),recBnRO6kZvbsuY88,"Factory Futures (MES, IIOT)",3YOURMIND,1,Institutional Investors,,,,
TALLARNA LIMITED,recBb81FPZCTSrkkT,Bleeding Edge BIM (AEC/BIM),Planarific,1,Institutional Investors,,,,
Fortitude,recDAhrwASH1Kp6ym,"Factory Futures (MES, IIOT)",First Resonance,1,Institutional Investors,,,,
Emerson Ventures,recDAhrwASH1Kp6ym,"Factory Futures (MES, IIOT)",First Resonance,1,VC Fund,,,,
